region,country,year,labor_pop,w_ind_porp,w_serv_porp,w_agr_prop,w_ind_count,w_serv_count,w_agr_count,w_mgr,m_mgr,female_ed,male_ed,diff,cat
Developed regions,Portugal,2010,5483823,15.94,73.14,10.91,874121,4010868,3968620,35.71,64.29,14.5,10.7,3.8,F>M
Developed regions,Denmark,2011,2929229,9.35,89.71,0.88,273883,2627811,2613769,28.64,71.36,32.6,28.7,3.9,F>M
Developed regions,Norway,2010,2607172,6.99,91.93,1.02,182241,2396773,2423304,35.03,64.97,31.3,27.4,3.9,F>M
Developed regions,Ireland,2010,2212519,8.77,89.83,1.05,194038,1987506,1969538,40.8,59.2,34.3,29.9,4.4,F>M
Developed regions,Poland,2011,18122025,16.47,71.26,12.23,2984698,12913755,13007237,35.91,64.09,23.2,18.8,4.4,F>M
Developed regions,Norway,2011,2636032,7.44,91.61,0.88,196121,2414869,2457951,31.2,68.8,33.64,29.13,4.51,F>M
Developed regions,Poland,2012,18253209,16.07,72.18,11.71,2933291,13175166,13207151,35.04,64.96,23.95,19.38,4.57,F>M
Developed regions,Iceland,2005,174291,10.57,86.08,3.06,18423,150030,156232,30.04,69.96,29.86,25.28,4.58,F>M
Developed regions,Slovenia,2011,1022686,18.26,73.28,7.89,186742,749424,745680,38.92,61.08,24.6,19.7,4.9,F>M
Developed regions,Ireland,2011,2192517,8.74,90.04,1.02,191626,1974142,1962987,29.9,70.1,32.85,27.67,5.18,F>M
Developed regions,Israel,2010,3504611,9.45,88.84,0.76,331186,3113496,3150624,33.45,66.55,45.6,40.3,5.3,F>M
Developed regions,Slovenia,2012,1017577,18.17,73.41,7.81,184894,747003,743635,40.26,59.74,26.4,20.76,5.64,F>M
Developed regions,Finland,2009,2708515,9.95,86.86,2.84,269497,2352616,2343286,34.71,65.29,34.4,28.6,5.8,F>M
Developed regions,Israel,2012,3641687,8.38,89.16,0.62,305173,3246928,3311063,31.59,68.41,47.32,41.39,5.93,F>M
Latin America and the Caribbean,Panama,2010,1689278,9.73,82.61,7.66,164367,1395513,1382445,42.01,57.99,24.32,18.26,6.06,F>M
Developed regions,Bulgaria,2010,3420680,24.08,70.71,5.21,823700,2418763,2364116,38.63,61.37,23.6,17.5,6.1,F>M
Developed regions,Belarus,2009,4899857,23.96,62.53,7.82,1174006,3063881,2624071,46.97,53.03,52.94,46.79,6.15,F>M
Developed regions,Finland,2011,2711842,9.26,87.85,2.4,251117,2382353,2388030,31.09,68.91,35.68,29.29,6.39,F>M
Developed regions,Bulgaria,2012,3353034,25.09,70.62,4.29,841276,2367913,2385037,35.5,64.5,24.6,18.12,6.48,F>M
Developed regions,Denmark,2012,2913576,9.48,89.35,1.09,276207,2603280,2588532,28.82,71.18,34.57,27.65,6.92,F>M
Developed regions,Lithuania,2011,1490329,16.39,77.15,6.46,244265,1149789,1142327,36.47,63.53,32.4,25.4,7,F>M
Developed regions,Sweden,2010,4974003,7.6,91.2,0.96,378024,4536291,4594682,31.34,68.66,31.7,24.5,7.2,F>M
Developed regions,Lithuania,2012,1480657,16.15,77.5,6.34,239126,1147509,1137915,35.3,64.7,32.54,25.25,7.29,F>M
Developed regions,Australia,2012,12023138,8.38,89.46,1.92,1007539,10755899,10907318,31.06,68.94,44.95,37.55,7.4,F>M
Developed regions,Australia,2011,11868407,8.54,89.23,1.89,1013562,10590180,10728246,31.73,68.27,42.1,34.6,7.5,F>M
Developed regions,Latvia,2011,1037180,13.99,80.62,5.37,145101,836175,829836,44.34,55.66,30.7,20.1,10.6,F>M
Developed regions,Estonia,2012,689511,17.69,79.76,2.52,121974,549954,548639,31.62,68.38,42.51,28.48,14.03,F>M
Developed regions,Estonia,2011,699275,19.07,78.39,2.46,133352,548162,540508,34.63,65.37,42.2,27.7,14.5,F>M
