symbol,name,date,w_mgr,m_mgr,f_ed,m_ed,Labor,diff
Developed,Bulgaria,3/15/10,38.63,61.37,23.6,17.5,3420680,6.1
Developed,Belarus,3/16/10,46.97,53.03,52.94,46.79,4899857,6.15
Developed,Finland,3/17/10,31.09,68.91,35.68,29.29,2711842,6.39
Developed,Bulgaria,3/18/10,35.5,64.5,24.6,18.12,3353034,6.48
Developed,Denmark,3/19/10,28.82,71.18,34.57,27.65,2913576,6.92
Developed,Lithuania,3/22/10,36.47,63.53,32.4,25.4,1490329,7
Developed,Sweden,3/23/10,31.34,68.66,31.7,24.5,4974003,7.2
Developed,Lithuania,3/24/10,35.3,64.7,32.54,25.25,1480657,7.29
Developed,Australia,3/25/10,31.06,68.94,44.95,37.55,12023138,7.4
Developed,Australia,3/26/10,31.73,68.27,42.1,34.6,11868407,7.5
Developed,Latvia,3/29/10,44.34,55.66,30.7,20.1,1037180,10.6
Developed,Estonia,3/30/10,31.62,68.38,42.51,28.48,689511,14.03
Developed,Estonia,3/31/10,34.63,65.37,42.2,27.7,699275,14.5
Latin America,Mexico,1/4/10,32.21,67.79,14.34,18.56,53682338,-4.22
Latin America,Mexico,1/5/10,31.8,68.2,16.4,18.9,51046361,-2.5
Latin America,El Salvador,1/6/10,31.99,68.01,6.1,7.5,2583035,-1.4
Latin America,El Salvador,1/7/10,55.2,44.8,10.6,11.99,2689531,-1.39
Latin America,Peru,1/8/10,26.7,73.3,21.72,22.58,16055398,-0.86
Latin America,Guatemala,1/11/10,35.57,64.43,0,0,6266333,0
Latin America,Costa Rica,1/12/10,29.21,70.79,21.15,20.61,2182008,0.54
Latin America,Dominican Republic,1/13/10,51.78,48.22,11.7,8.7,4495580,3
Latin America,Dominican Republic,1/14/10,55.81,44.19,12.51,8.98,4583079,3.53
Latin America,Panama,1/15/10,42.01,57.99,24.32,18.26,1689278,6.06
Africa and Asia,Sri Lanka,1/4/10,19.96,80.04,14.83,13.28,8288388,1.55
Africa and Asia,Mauritius,1/5/10,21.52,78.48,4.03,6.45,571678,-2.42
Africa and Asia,Ethiopia,1/6/10,20.73,79.27,0.39,1.94,42150527,-1.55
Africa and Asia,South Africa,1/7/10,30.2,69.8,5.76,7.02,18985640,-1.26
Africa and Asia,South Africa,1/8/10,29.1,70.9,5.6,6.6,18492372,-1
Africa and Asia,Turkey,1/11/10,14.34,85.66,10.44,15.45,27153513,-5.01
Africa and Asia,Turkey,1/12/10,20.08,79.92,8,12.3,24700815,-4.3
